sourcenotation;sourcepreflabel;targetnotation
129;Origin and destiny of individual souls;CC 8480 - CC 8500
129;Origin and destiny of individual souls;BF 8050
130;Parapsychology and occultism;CP 9400
130;Parapsychology and occultism;BE 9130
130;Parapsychology and occultism;BM 9440
130;Parapsychology and occultism;BM 9460
130.3;Occultism--dictionaries, ;CN 1500
130.92;Occultists, . . .;BM 9440
131;Parapsychological and occult methods for achieving well-being, happiness, success;CU 8580
131;Parapsychological and occult methods for achieving well-being, happiness, success;CP 9400
131;Parapsychological and occult methods for achieving well-being, happiness, success;CC 6600
133;Specific topics in parapsychology and occultism;CP 9400
133;Specific topics in parapsychology and occultism;CP 9500
133.1;Apparitions;BM 9440
133.12;Haunted places;BM 9440
133.122;Specific types of haunted places;BM 9440
133.14;Specific kinds of apparitions;BM 8420
133.142;Poltergeists;LC 33000 - LC 33730
133.142;Poltergeists;BE 2395
133.2;Parapsychological and occult aspects of specific things;CC 6600
133.2;Parapsychological and occult aspects of specific things;CZ 1000
133.25;Natural things;CQ 
133.25;Natural things;BM 9440
133.3;Divinatory arts;BM 8000 - BM 9550
133.32;Fortune-telling by crystals and stones;BE 2540
133.32;Fortune-telling by crystals and stones;LC 52000 - LC 52730
133.322;Fortune-telling by crystals and stones;BE 2540
133.323;Dowsing;BE 2540
133.324;Fortune-telling by cards, tea leaves and coffee grounds, oracles and sibyls;BE 2540
133.3242;Fortune-telling by cards (Cartomancy);BE 2540
133.32424;Fortune-telling by tarot; BE 2540
133.3244;Fortune-telling by tea leaves and coffee grounds;BE 2540
133.3248;Fortune-telling by oracles and sibyls; BE 2540
133.3248;Fortune-telling by oracles and sibyls;LC 4000
133.33;Symbolic divination;BE 2540
133.33;Symbolic divination;LC 52000
133.333;Geomancy;LC 52000
133.333;Geomancy;BE 9190
133.334;Divinatory signs and omens;LC 40000 - LC 40730
133.334;Divinatory signs and omens;LC 52000 - LC 52730
133.334;Divinatory signs and omens;BE 2540
133.335;Numerology;SG 700
133.335;Numerology;BE 2650
133.3354;Fortune-telling by numbers;BE 2650
133.3354;Fortune-telling by numbers;LC 52000 - LC 59730
133.3359;Symbolism of specific numbers;BE 2650
133.4;Demonology and witchcraft;BE 2560 - BE 2564
133.4;Demonology and witchcraft;BK 2155
133.42;Demnology;BK 2155
133.422;Satanism;BK 2155
133.422;Satanism;BE 9130
133.423;Evil spirits;BK 2155
133.425;The evil eye;BK 2155
133.426;Demoniac possession;BK 2155
133.427;Exorcism of demons;BK 2155
133.43;Magic and witchcraft;BE 2650 - BE 2564
133.43092;Cunning folk, . . .;LC 41000
133.44;Spells, curses, charms;BE 2560 - BE 2564
133.44;Spells, curses, charms;LC 40000
133.442;Love spells and charms;BE 2560 - BE 2564
133.443;Good luck spells and charms;BE 2560 - BE 2564
133.446;Therapeutic spells and charms;BE 2560 - BE 2564
133.5;Astrology;BE 2340 - BE 2344
133.50112;Forecasting and forecasts;AK 26800
133.50112;Forecasting and forecasts;BM 9330
133.50112;Forecasting and forecasts;QP 325
133.50112;Forecasting and forecasts;QN 200
133.50882;Specific religious groups;BE 9200 - BE 9205
133.50882;Specific religious groups;BG 9600 - BG 9720
133.5089;Specific ethnic and national groups; BE 5000 - BE 5700
133.5092;Astrologers, . . .;BE 2340
133.52;Signs of the zodiac;BE 2340
133.52-133.58;Specific aspects of western astrology;BE 2340
133.526;First six signs;BE 2340
133.526;First six signs;BE 9120
133.5262;Aries;BE 2340
133.5262;Aries;BE 9120
133.5263;Taurus;BE 2340
133.5263;Taurus;BE 9120
133.5264;Gemini;BE 2340
133.5264;Gemini;BE 9120
133.5265;Cancer;BE 2340
133.5265;Cancer;BE 9120
133.5266;Leo;BE 2340
133.5266;Leo;BE 9120
133.5267;Virgo;BE 2340
133.5267;Virgo;BE 9120
133.527;Second six signs;BE 2340
133.527;Second six signs;BE 9120
133.5272;Libra;BE 2340
133.5272;Libra;BE 9120
133.5273;Scorpio;BE 2340
133.5273;Scorpio;BE 9120
133.5274;Sagittarius;BE 2340
133.5274;Sagittarius;BE 9120
133.5275;Capricorn;BE 2340
133.5275;Capricorn;BE 9120
133.5276;Aquarius;BE 2340
133.5276;Aquarius;BE 9120
133.5277;Pisces;BE 2340
133.5277;Pisces;BE 9120
133.53;Planets, sun, moon;BE 2340
133.53;Planets, sun, moon;BE 9190
133.53042;Houses;BE 9190
133.53044;Aspects;BE 9190
133.531;Sun;BE 2340
133.532;Moon;BE 2340
133.533;Mercury;BE 2340
133.534;Venus;BE 2340
133.535;Mars;BE 2340
133.536;Jupiter;BE 2340
133.537;Saturn;BE 2340
133.538;Uranus;BE 2340
133.539;Neptune, Pluto, asteroids, related bodies;BE 2340
133.5391;Neptune;BE 2340
133.5392;Pluto;BE 2340
133.5398;Asteroids;BE 2340
133.54;Horoscopes;BE 2340
133.5404;Special topics of horoscopes;BE 2340
133.54042;Daily guides and birthday books;BE 2340
133.542;Casting horoscopes;BE 2340
133.548;Horoscopes of individuals;BE 2340
133.55;Astrological ephemerides;BE 2340
133.56;Horary astrology;BE 9190
133.58;Application of astrology to specific topics;BE 9190
133.5861;Medical astrology, . . .;
133.59; Arten oder Schulen der Astrologie, die einem einzelnen geografischen Gebiet entstammen oder diesem zugeordnet werden, einer einzelnen ethnischen oder nationalen Gruppe entstammen oder dieser zugeordnet werden, einer einzelnen Religion entstammen oder dieser zugeordnet werden;BE 2340
133.59; Arten oder Schulen der Astrologie, die einem einzelnen geografischen Gebiet entstammen oder diesem zugeordnet werden, einer einzelnen ethnischen oder nationalen Gruppe entstammen oder dieser zugeordnet werden, einer einzelnen Religion entstammen oder dieser zugeordnet werden;BE 9190
133.592;Types or schools of astrology originating in or associated with a specific area; BE 2340
133.5945; Zorastrian astrology;BE 7903 - BE 7910
133.5949514;Taoist astrology, . . .;BE 8240
133.6;Palmistry;CS 4500
133.6;Palmistry;CP 9400
133.6;Palmistry;BE 3640
133.6;Palmistry;BM 9460
133.6092;Palmists, . ..;BE 2540
133.6092;Palmists, . ..;LC 52000
133.8;Psychic phenomena;BE 9130
133.8;Psychic phenomena;BM 9440
133.8;Psychic phenomena;BM 9460
133.82;Telepathy;BM 9460
133.82;Telepathy;CP 9460
133.82-133.86;Extrasensory perception;BM 9100
133.82-133.86;Extrasensory perception;BM 9400
133.82-133.86;Extrasensory perception;BE 9100
133.82-133.86;Extrasensory perception;CP 9400
133.84;Extrasensory perception;BM 9460
133.84;Clairvoyance;BM 9460
133.85;Clairvoyance;CP 9400
133.85;Clairvoyance;BM 9460
133.86;Precognition;BM 9460
133.86;Precognition;CP 9400
133.88;Psychokinesis;CP 9400
133.89;Animal magnetism, hypnosis, extrasensory perception of animals, aura;CP 9400
133.89;Animal magnetism, hypnosis, extrasensory perception of animals, aura;BM 9400
133.892;Aura;BM 9470
133.892;Aura;BM 9400
133.9;Spiritualism;BM 9450
133.91;Mediumship;BE 2395
133.91;Mediumship;BE 3670
133.92;Specific mediumistic phenomena;BM 9440
133.92;Specific mediumistic phenomena;CP 9400
133.93;Psychic messages;CP 9500
133.9325;Ouija board;
133.95;Astral projection (Out-of-body experience);BM 9460
133.95;Astral projection (Out-of-body experience);CP 9400
135;Dreams and mysteries;BM 9430
135.3;Dreams;CP 9400
135.3;Dreams;CP 9000
135.45;Hermetism;CD 1600
135.45;Hermetism;CI 1110
135.45;Hermetism;BG 2000 - BG 2980        
135.47;Cabala;BD 5850
135.47;Cabala;BD 4870
137;Divinatory graphology];CS 4500
138;Physiognomy;YH 4500
138;Physiognomy;CZ 1000
139;Phrenology;BG 2500
14;Philosophical schools of thought;BG 2540
140;Specific philosophical schools and viewpoints;
141;Idealism and related systems and doctrines;BG 2540
141.2;Modern Platonism and Neoplatonism;CD 3950
141.2;Modern Platonism and Neoplatonism;BF 2376
141.2;Modern Platonism and Neoplatonism;CI 1150
141.3;Transcendentalism;HT 1722 
141.4;Individualism;BL 4740 
141.5;Personalism;BL 4300
141.6;Romanticism;IB 5250 
141.6;Romanticism;IQ 00145 
141.6;Romanticism;LH 65780 
141.6;Romanticism;MC 6100 
142.3;Kantianism;CF 5000 - CF 5017 
142.3;Kantianism;BF 4045 - BF 4046 
142.3;Kantianism;DD 7460 - DD 7461 
142.3;Kantianism;MC 5450 - MC 5453 
142.7;Phenomenology;CI 1120 
142.78;Existentialism;GM 1550
142.78;Existentialism;BF 1550 
142.78;Existentialism;IH 1676 
143;Bergsonism and intuitionism;CI 5500 - CI 5517 
143;Bergsonism and intuitionism;BF 5190 - BF 5191 
144;Humanism and related systems and doctrines;Bo 5325 
144;Humanism and related systems and doctrines;MC 4100 
144.3;Pragmatism; CI 1110 
144.3;Pragmatism; BL 4800 
144.5;Instrumentalism;CC 3000 - CC 3300 
144.6;Utilitarianism;MC 6300
144.6;Utilitarianism;QE 300 
146;Naturalism and related systems and doctrines;GM 1660 
146.3;Materialism;MC 5170 
146.32;Dialectical materialism;BF 1460 
146.4;Positivism and related systems;BG 2360 
146.42;Logical positivism (Logical empiricism);CI 1150 
146.44;Empiricism;CI 1150 
146.5;Atomism;CC 3500
146.5;Atomism;CC 6100 - CC 6350 
146.5;Atomism;UB 244 
146.5;Atomism;CC 3500  
146.6;Mechanism; CC 6100 - CC 6350 
146.7;Evolutionismus und Prozessphilosophie ;HL 1133  
146.7;Evolutionismus und Prozessphilosophie ;WH 2100 
147;Pantheism and related systems and doctrines;BG 3495 
147;Pantheism and related systems and doctrines;BH 4400 
147.3;Monism; BG 3500
147.4;Dualism and pluralism; BE 3740
147.4;Dualism and pluralism; MD 1500 
148;Dogmatism, eclecticism, liberalism, syncretism, traditionalism; LH 67548 
148;Dogmatism, eclecticism, liberalism, syncretism, traditionalism; CC 7920 
148;Dogmatism, eclecticism, liberalism, syncretism, traditionalism; BE 3730 
149;Other philosophical systems and doctrines;CC 
149;Other philosophical systems and doctrines;BF 8000 - BF 9200 
149.1;Conceptualism and nominalism;BN 2610
149.2;Realism;BK 3350
149.2;Realism ;CC 6020 
149.3;Mysticism;BD 4940 
149.5;Optimism ;CP 3000 
149.6;Pessimism ;CP 3000 
149.7;Rationalism and related systems and doctrines;BG 2390 
149.72;Agnosticism;CC 8480 - CC 8500 
149.72;Agnosticism;BF 1530 
149.73;Skepticism;BK 2700
149.8;Nihilism;BK 2800 
149.94;Linguistic philosophies;BF 1535 
149.94;Linguistic philosophies;BF 8850 
149.94;Linguistic philosophies;BV 9200 
149.94;Linguistic philosophies;CC 4600 - CC 4800 
149.94;Linguistic philosophies;EG 9020 
149.94;Linguistic philosophies ;ER 600 - ER 640 
149.96;Structuralism;BG 2480 
149.97;Structuralism (Poststrukturalismus, Postmoderne);CI 1125
149.97;Structuralism (Poststrukturalismus, Postmoderne) ;CI 1125 
149.97;Structuralism (Poststrukturalismus, Postmoderne);MR 5450
150;Psychology; CL - CZ Psychologie
150.15195;Psychometrics, . . .; QH 254 
150.193;Functionalism;LH 67556 
150.194;Reductionism;BG 2780 
150.1943;Behaviorism ;MB 2440
150.1943;Behaviorism;CP 8000 
150.1944;Reflexology (Associationism); CP 4000 
150.195;Psychoanalytic systems;CU 2000 
150.195;Psychoanalytic systems;CU 2000 - CU 2690 
150.1952;Freudian system;CU 2560 - CU 2565
150.1953;Adlerian system;CU 2500 - CU 2503
150.1954;Jungian system;CU 2580 - CU 2583
150.1982;Gestalt psychology;CU 8530
150.1984;Field theory;MR 6000 
150.1985;Personal construct psychology;CP 5000 
150.1985;Personal construct psychology;CX 3000 
150.1986;Humanistic psychology;MC 4100 
150.287;Testing and measurement;CM 3000 
150.287;Testing and measurement;CS 1500 
150.287;Testing and measurement;CT 
150.287;Testing and measurement;CT 8000 
150.7;Education, research, related topics;CU 8600 
150.7;Education, research, related topics;CW 5000 
150.9;History, geographic treatment, biography;CM 2000 
150.92;Behavior analysts, . . .; CP 8000 
152;Sensory perception, movement, emotions, physiological drives;CP 2000
152.1;Sensory perception;CP 2500
152.14;Visual perception;CP 2500 
152.142;Spatial perception;CP 2500 
152.1422;Visual acuity ;CP 2500 
152.143;Brightness perception ;CP 2500 
152.145;Color perception;WW 1820 - WW 1859
152.145;Color perception ;CP 2500 
152.148;Optical illusions;CP 2500 
152.15;Auditory perception ;CP 2500
152.152;Pitch perception;CP 2500 
152.154;Volume perception;CP 2500
152.157;Timbre perception (Tone discrimination);CP 2500 
152.158;Localization;CP 2500 
152.16;Chemical sensory perception;WW 1740 - WW 1779 
152.166;Perception of smells;WW 1740 - WW 1779 
152.167;Perception of tastes;WW 1740 - WW 1779 
152.182;Cutaneous perception;WW 5000 - WW 5289 
152.1822;Thermal perception;WW 1700 - WW 1739 
152.1824;Pain perception;WW 4250 - WW 4289
152.1882;Proprioceptive perception ;CV 3000 
152.3;Movements and motor functions;CQ 3000 
152.322;Reflexes;YG 2200 - YG 2299
152.322;Reflexes;WW 4120 - WW 4199 
152.322;Reflexes;WT 2100 - WT 2139
152.3223;Innate reflexes;YG 2200 - YG 2299 
152.322;Innate reflexes;WW 4120 - WW 4199
152.3224;Conditioned reflexes; YG 2200 - YG 2299 
152.322;Conditioned reflexes; WW 4120 - WW 4199 
152.324;Instinctive movements; YG 2200 - YG 2299
152.322;Instinctive movements;WW 4120 - WW 4199
152.33;Habits and habit formation;BK 2110 
152.334;Motor learning;CQ 3000
152.335;Handedness and laterality;CP 7000
152.35;Voluntary movements;Kein Treffer
152.384;Expressive movements;YN 6200 - YN 6299 
152.3842;Expressive movements;ES 670
152.3842;Expressive movements;GB 2960
152.3845;Grafical expressions;GB 2964
152.3845;Grafical expressions;GU 12750 
152.3845;Graphic expressions; YG 2100 
152.4;Emotions;CZ 1330
152.40287;Emotional intelligence tests, . . .;CT 1000
152.41;Love and affection;BL 3180
152.41;Love and affection;Bk 6500
152.43;Wit and humor;EC 3930
152.44;Guilt and shame;BC 6880
152.44;Guilt and shame;BK 2150
152.46;Fear, anxiety, worry;CP 3500 - CP 3900
152.46;Fear, anxiety, worry;CP 3700
152.5;Physiological drives;WT 2100
152.8;Threshold, discrimination, reaction-time studies;MS 3200
153;Conscious mental processes and intelligence;CV 2500
153;Conscious mental processes and intelligence;CZ 1320
153;Conscious mental processes and intelligence;CR 5000
153;Conscious mental processes and intelligence;AK 26300
153.0287;Testing and measurement; CT 1000 - CT 1900
153.0287;Testing and measurement; CT 1900
153.0287;Testing and measurement; CT 2000 - CT 2400
153.0287;Testing and measurement; CT 2400
153.0287;Testing and measurement; CT 3000
153.0287;Testing and measurement; CT CT 4000 - CT 4880
153.1;Memory and learning;CP 5000
153.1;Memory and learning;MR 6200
153.1;Memory and learning;WW 4200
153.15;Learning;CP 5000
153.15;Learning ;MR 6200
153.15;Learning ;QH 740
153.15;Learning ;WW 4200
153.152;Methods of learning;CP 5200
153.1532;Attention and concentration;CP 6000
153.1534;Motivation; CP 3000
153.1534;Motivation;CP 3100
153.1534;Motivation;CQ 5200
153.1534;Motivation;CX 3500
153.1534;Motivation;QC 010
153.2;Formation and association of ideas; CP 4000
153.23;Concepts and concept formation; CP 4000
153.35;Creativity;CR 5000
153.35;Creativity;MR 6300
153.35;Creativity;QP 300
153.35;Creativity;QV 570
153.4;Thought, thinking, reasoning, intuition, value, judgment; CP 4000
153.4;Thought, thinking, reasoning, intuition, value, judgment; CP 4100
153.4;Thought, thinking, reasoning, intuition, value, judgment; MR 6300 
153.44;Intuition;ER 955
153.45;Value; BK 2015 
153.45;Value;MR 7200
153.46;Judgment;CP 4200
153.6;Communication;BV 9350 - BV 9450
153.6;Communication;BU 6150 
153.6;Communication;MR 6600 
153.6;Communication;WT 3700
153.6;Communication;CV 3500 
153.69;Nonverbal communication; CV 3500
153.7;Perceptual processes;CP 2000
153.733;Attention;CP 6000 
153.74;Errors (Normal illusions);YO 3900 - YO 3999
153.754;Movement perception;WW 1900 - WW 1939
153.8;Will (Volition);CC 7220
153.83;Choice and decision;CM 5500
153.90287;Testing and measurement;CT 1000 - CT 1900
153.90287;Testing and measurement;CR 5000
153.93;Intelligence tests;CS 3000
153.94;Aptitude tests; CS 3000
153.94001-153.94999;Tests for aptitudes in specific fields; CR 5000 
153.9478;Musical aptitude tests, . . .;LR 56962
153.98;Superior intelligence; CR 5000 
154.2;The subconscious;CU 2000
154.2;The subconscious;CP 4600
154.2;The subconscious;CP 4000
154.3;Daydreams, fantasies, reveries;YH 3600 - YH 3699
154.3;Daydreams, fantasies, reveries;YH 4300 - YH 4399
154.6;Sleep phenomena;CP 9000
154.6;Sleep phenomena;AR 24760
154.63;Dreams;CP 9000
154.63;Dreams;YH 4300 - YH 4399
154.632;Nightmares;CP 9000
154.634;Analysis of dreams;CP 9000
154.634;Analysis of dreams;CU 8000
154.634;Analysis of dreams;CU 2000
154.634;Analysis of dreams;YH 4300
154.64;Sleepwalking (Somnambulism) ;CP 9000
154.7;Hypnotism;CP 9000
154.7;Hypnotism;YH 8000 - YH 8099 
154.772;Phenomena during trance;BM 9380
155;Differential and developmental psychology ;BT 5450 
155;Differential and developmental psychology;BU 8200
155;Differential and developmental psychology;CQ
155;Differential and developmental psychology;CQ 5500
155;Differential and developmental psychology;YQ 7300
155.2;Individual psychology;CR 
155.2;Individual psychology;CR 1000
155.2;Individual psychology;CR 4000
155.23;Traits and determinants of character and personality;CR 7000
155.24;Adaptability and adjustment;MR 6050
155.25;Development and modification of character and personality; BT 5420
155.26;Typology;Kein Treffer
155.262;Classical typology (Hippocrates' theory of temperaments); CR 4000
155.283;Inventories and questionnaires;CS 2000
155.283;Inventories and questionnaires;CT 7000
155.283;Inventories and questionnaires;CT 8500
155.283;Inventories and questionnaires;MR 2500
155.3;"Sex psychology; psychology of people by gender or sex, by sexual orientation "; CR 6000
155.33;Psychology of people by gender or sex;MS 2850
155.332;Men;WT 3260
155.333;Women;WT 3255
155.334;Bisexuality;MS 2870
155.34;Psychology of people by sexual orientation;MS 2870
155.343;Bisexuals;MS 2870
155.344;Gays;YH 8800 - YH 8899
155.4;Child psychology;CQ 6000
155.4;Child psychology;YQ 7200
155.4083;Young people; CQ 6000
155.4087;People with disabilities and illnesses, gifted people;
155.5189042;Stress--adolescents, . . .; CP 3900
155.519;Applied psychology--adolescents, . . .;CW
155.6;Psychology of adults;CQ 7200
155.6081;Adults by gender or sex;CR 6000
155.6082;Women;Kein Treffer
155.6084;Adults in specific stages of adulthood;CQ 7000 - CQ 7400 
155.60866;Adults in general by sexual orientation ;MS 2870
155.63;Adults by gender or sex;CR 6000
155.64;Adults by marital status and relationships;CV 8000
155.66;People in middle adulthood;CQ 7200
155.67;People in late adulthood;CQ 7400
155.671;General topics of people in late adulthood;CQ 7000
155.7;Evolutionary psychology;CR 1000
155.7;Evolutionary psychology;CZ 8000
155.7;Evolutionary psychology;CM 1000
155.7;Evolutionary psychology;WH 5000
155.7;Evolutionary psychology;MR 5750
155.8;Ethnopsychology and national psychology;CV 7500
155.89;National psychology;CV 7500
155.9;Environmental psychology;CV 9000
155.9042;Stress;CP 3900
155.911;Influence of sensory stimuli ;CP 2000
155.911;Influence of sensory stimuli ;CP 2500
155.91145;psychology of color; CP 2500 
155.91145;psychology of color;CX 7500
155.9115;Noise--environmental psychology, . . . ;CP 2000
155.915;Influence of climate;CW 9500
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6760
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CU 9500
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6800
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6730
155.916;Influence of injuries, diseases, physical disabilities, disfigurements;CW 6820
155.92;Influence of social environment;CV 9500
155.92;Influence of social environment;CV 6000
155.92;Influence of social environment;CV 8000
155.924;Birth order--environmental psychology, . . .;CV 8000
155.924;Birth order--environmental psychology, . . .;CQ 5000
155.924;Birth order--environmental psychology, . . .;CQ 6000
155.924;Birth order--environmental psychology, . . .;CR 4000
155.924;Birth order--environmental psychology, . . .;MS 2600
155.924;Birth order--environmental psychology, . . .;MS 1960
155.925;Friendship--psychological influence, . . .;CV 4000
155.925;Friendship--psychological influence, . . .;MS 1000
155.926;Work associates--psychological influence, . . .; CV 4000
155.927;Strangers--psychological influence, . . .; CV 4000
155.935;Catastrophic disasters;CU 3040 
155.935;Catastrophic disasters;CW 9500
155.935;Catastrophic disasters;CV 7500
155.936;Accidents;CW 6500 
155.937;Death and dying;CQ 7600
155.937;Death and dying;BQ 6010
155.937;Death and dying;MS 6300
155.962;Prisons; CW 8000
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;WT 5503
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;CZ 8000
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;CS 3000
156.2;Comparative psychology of sensory perception, movement, emotions, physiological drives of animals;ES 178
156.3;Comparative conscious mental processes and intelligence of animals;WT 5500 - WT 5539
156.315;Animal learning--comparative psychology, . . .; WT 5500 - WT 5539
156.39;Animal intelligence--comparative psychology, . . .;WT 5500 - WT 5539
158;Applied psychology;CW
158.1;Personal improvement and analysis;BT 5410
158.1;Personal improvement and analysis;AL 43100
158.12;Personal improvement and analysis through meditation;CU 8580
158.125;Transcendental meditation;HT 1722 
158.128;Meditations;CU 8580
158.128;Meditations;BQ 6680
158.128;Meditations;BQ 6650
158.2;Interpersonal relations;CV 4500
158.24;Interpersonal relations with family members; CV 8000
158.26;Interpersonal relations with work associates;CV 9500
158.26;Interpersonal relations with work associates;CW 4500
158.26;Interpersonal relations with work associates;CW 5500
158.26;Interpersonal relations with work associates;QP 342
158.27;Interpersonal relationships with strangers ;CV 4000
158.3;Counseling and interviewing;CU 7000
158.3;Counseling and interviewing;BQ 8470 
158.3;Counseling and interviewing;DS 5600
158.3;Counseling and interviewing;DL 4240
158.3092;Counseling psychologists, . . .; CU 7000
158.39;Interviewing ;AP 36160
158.4;Leadership;CW 4600
158.5;Negotiation;QP 300
158.6;Vocational interests;CW 5500
158.60287;Testing and measurement ;CT 2000 - CT 2400  
158.60287;Testing and measurement ;CT 2000
158.60287;Testing and measurement ;CT 2400
158.7;Industrial psychology;QV 020
158.7;Industrial psychology;CW 5500
158.7;Industrial psychology;CW 1500
158.7;Industrial psychology;CW 4800
158.7;Industrial psychology;QV 574
158.72;Job stress;CP 3900
